problem,instance,number of objectives,chromosome size,solver,seed,metric name,metric value
MOTSP,kroAB200,2,200,NS-BRKGA,562386085,Hypervolume Ratio,0.906748
MOTSP,kroAB200,2,200,NS-BRKGA,287613914,Hypervolume Ratio,0.894339
MOTSP,kroAB200,2,200,NS-BRKGA,755772793,Hypervolume Ratio,0.886291
MOTSP,kroAB500,2,500,NSGA-II,305089489,Hypervolume Ratio,0.938742
MOTSP,kroAB500,2,500,NSGA-II,511812191,Hypervolume Ratio,0.940115
MOTSP,kroAB500,2,500,NSGA-II,608055156,Hypervolume Ratio,0.94643
MOTSP,kroAB500,2,500,NSGA-II,467424509,Hypervolume Ratio,0.946204
MOTSP,kroAB500,2,500,NSGA-II,944441939,Hypervolume Ratio,0.951428
MOTSP,kroAB500,2,500,NSGA-II,414977408,Hypervolume Ratio,0.931671
MOTSP,kroAB500,2,500,NSGA-II,819312498,Hypervolume Ratio,0.931602
MOTSP,kroAB500,2,500,NSGA-II,562386085,Hypervolume Ratio,0.93762
MOTSP,kroAB500,2,500,NSGA-II,287613914,Hypervolume Ratio,0.945273
MOTSP,kroAB500,2,500,NSGA-II,755772793,Hypervolume Ratio,0.935121
MOTSP,kroAB500,2,500,NSPSO,305089489,Hypervolume Ratio,0.784958
MOTSP,kroAB500,2,500,NSPSO,511812191,Hypervolume Ratio,0.802784
MOTSP,kroAB500,2,500,NSPSO,608055156,Hypervolume Ratio,0.822092
MOTSP,kroAB500,2,500,NSPSO,467424509,Hypervolume Ratio,0.802714
MOTSP,kroAB500,2,500,NSPSO,944441939,Hypervolume Ratio,0.812193
MOTSP,kroAB500,2,500,NSPSO,414977408,Hypervolume Ratio,0.82189
MOTSP,kroAB500,2,500,NSPSO,819312498,Hypervolume Ratio,0.814416
MOTSP,kroAB500,2,500,NSPSO,562386085,Hypervolume Ratio,0.82888
MOTSP,kroAB500,2,500,NSPSO,287613914,Hypervolume Ratio,0.774584
MOTSP,kroAB500,2,500,NSPSO,755772793,Hypervolume Ratio,0.809006
MOTSP,kroAB500,2,500,MOEA/D-DE,305089489,Hypervolume Ratio,0.873148
MOTSP,kroAB500,2,500,MOEA/D-DE,511812191,Hypervolume Ratio,0.881592
MOTSP,kroAB500,2,500,MOEA/D-DE,608055156,Hypervolume Ratio,0.809426
MOTSP,kroAB500,2,500,MOEA/D-DE,467424509,Hypervolume Ratio,0.903258
MOTSP,kroAB500,2,500,MOEA/D-DE,944441939,Hypervolume Ratio,0.851521
MOTSP,kroAB500,2,500,MOEA/D-DE,414977408,Hypervolume Ratio,0.852236
MOTSP,kroAB500,2,500,MOEA/D-DE,819312498,Hypervolume Ratio,0.872243
MOTSP,kroAB500,2,500,MOEA/D-DE,562386085,Hypervolume Ratio,0.917308
MOTSP,kroAB500,2,500,MOEA/D-DE,287613914,Hypervolume Ratio,0.828769
MOTSP,kroAB500,2,500,MOEA/D-DE,755772793,Hypervolume Ratio,0.855479
MOTSP,kroAB500,2,500,MHACO,305089489,Hypervolume Ratio,0.601111
MOTSP,kroAB500,2,500,MHACO,511812191,Hypervolume Ratio,0.600425
MOTSP,kroAB500,2,500,MHACO,608055156,Hypervolume Ratio,0.597957
MOTSP,kroAB500,2,500,MHACO,467424509,Hypervolume Ratio,0.598999
MOTSP,kroAB500,2,500,MHACO,944441939,Hypervolume Ratio,0.597606
MOTSP,kroAB500,2,500,MHACO,414977408,Hypervolume Ratio,0.604156
MOTSP,kroAB500,2,500,MHACO,819312498,Hypervolume Ratio,0.595119
MOTSP,kroAB500,2,500,MHACO,562386085,Hypervolume Ratio,0.599888
MOTSP,kroAB500,2,500,MHACO,287613914,Hypervolume Ratio,0.596798
MOTSP,kroAB500,2,500,MHACO,755772793,Hypervolume Ratio,0.598995
MOTSP,kroAB500,2,500,IHS,305089489,Hypervolume Ratio,0.620322
MOTSP,kroAB500,2,500,IHS,511812191,Hypervolume Ratio,0.627913
MOTSP,kroAB500,2,500,IHS,608055156,Hypervolume Ratio,0.628939
MOTSP,kroAB500,2,500,IHS,467424509,Hypervolume Ratio,0.623408
MOTSP,kroAB500,2,500,IHS,944441939,Hypervolume Ratio,0.620094
MOTSP,kroAB500,2,500,IHS,414977408,Hypervolume Ratio,0.62515
MOTSP,kroAB500,2,500,IHS,819312498,Hypervolume Ratio,0.629556
MOTSP,kroAB500,2,500,IHS,562386085,Hypervolume Ratio,0.627211
MOTSP,kroAB500,2,500,IHS,287613914,Hypervolume Ratio,0.637308
MOTSP,kroAB500,2,500,IHS,755772793,Hypervolume Ratio,0.632121
MOTSP,kroAB500,2,500,NS-BRKGA,305089489,Hypervolume Ratio,0.92281
MOTSP,kroAB500,2,500,NS-BRKGA,511812191,Hypervolume Ratio,0.896175
MOTSP,kroAB500,2,500,NS-BRKGA,608055156,Hypervolume Ratio,0.908353
MOTSP,kroAB500,2,500,NS-BRKGA,467424509,Hypervolume Ratio,0.898789
MOTSP,kroAB500,2,500,NS-BRKGA,944441939,Hypervolume Ratio,0.914954
MOTSP,kroAB500,2,500,NS-BRKGA,414977408,Hypervolume Ratio,0.925429
MOTSP,kroAB500,2,500,NS-BRKGA,819312498,Hypervolume Ratio,0.910354
MOTSP,kroAB500,2,500,NS-BRKGA,562386085,Hypervolume Ratio,0.901437
MOTSP,kroAB500,2,500,NS-BRKGA,287613914,Hypervolume Ratio,0.896057
MOTSP,kroAB500,2,500,NS-BRKGA,755772793,Hypervolume Ratio,0.899201
MOTSP,kroAB1000,2,1000,NSGA-II,305089489,Hypervolume Ratio,0.915793
MOTSP,kroAB1000,2,1000,NSGA-II,511812191,Hypervolume Ratio,0.910635
MOTSP,kroAB1000,2,1000,NSGA-II,608055156,Hypervolume Ratio,0.919101
MOTSP,kroAB1000,2,1000,NSGA-II,467424509,Hypervolume Ratio,0.939684
MOTSP,kroAB1000,2,1000,NSGA-II,944441939,Hypervolume Ratio,0.906136
MOTSP,kroAB1000,2,1000,NSGA-II,414977408,Hypervolume Ratio,0.911255
MOTSP,kroAB1000,2,1000,NSGA-II,819312498,Hypervolume Ratio,0.894237
MOTSP,kroAB1000,2,1000,NSGA-II,562386085,Hypervolume Ratio,0.913875
MOTSP,kroAB1000,2,1000,NSGA-II,287613914,Hypervolume Ratio,0.922201
MOTSP,kroAB1000,2,1000,NSGA-II,755772793,Hypervolume Ratio,0.910671
MOTSP,kroAB1000,2,1000,NSPSO,305089489,Hypervolume Ratio,0.729335
MOTSP,kroAB1000,2,1000,NSPSO,511812191,Hypervolume Ratio,0.723465
MOTSP,kroAB1000,2,1000,NSPSO,608055156,Hypervolume Ratio,0.795641
MOTSP,kroAB1000,2,1000,NSPSO,467424509,Hypervolume Ratio,0.713996
MOTSP,kroAB1000,2,1000,NSPSO,944441939,Hypervolume Ratio,0.726117
MOTSP,kroAB1000,2,1000,NSPSO,414977408,Hypervolume Ratio,0.743477
MOTSP,kroAB1000,2,1000,NSPSO,819312498,Hypervolume Ratio,0.725689
MOTSP,kroAB1000,2,1000,NSPSO,562386085,Hypervolume Ratio,0.707374
MOTSP,kroAB1000,2,1000,NSPSO,287613914,Hypervolume Ratio,0.739896
MOTSP,kroAB1000,2,1000,NSPSO,755772793,Hypervolume Ratio,0.715095
MOTSP,kroAB1000,2,1000,MOEA/D-DE,305089489,Hypervolume Ratio,0.845232
MOTSP,kroAB1000,2,1000,MOEA/D-DE,511812191,Hypervolume Ratio,0.851711
MOTSP,kroAB1000,2,1000,MOEA/D-DE,608055156,Hypervolume Ratio,0.833093
MOTSP,kroAB1000,2,1000,MOEA/D-DE,467424509,Hypervolume Ratio,0.857441
MOTSP,kroAB1000,2,1000,MOEA/D-DE,944441939,Hypervolume Ratio,0.82929
MOTSP,kroAB1000,2,1000,MOEA/D-DE,414977408,Hypervolume Ratio,0.844348
MOTSP,kroAB1000,2,1000,MOEA/D-DE,819312498,Hypervolume Ratio,0.842518
MOTSP,kroAB1000,2,1000,MOEA/D-DE,562386085,Hypervolume Ratio,0.850934
MOTSP,kroAB1000,2,1000,MOEA/D-DE,287613914,Hypervolume Ratio,0.841263
MOTSP,kroAB1000,2,1000,MOEA/D-DE,755772793,Hypervolume Ratio,0.863521
MOTSP,kroAB1000,2,1000,MHACO,305089489,Hypervolume Ratio,0.658054
MOTSP,kroAB1000,2,1000,MHACO,511812191,Hypervolume Ratio,0.664747
